method,round,num_clients,dirichlet_alpha,lora_rank,val_accuracy,val_loss,comm_cost_mb,trainable_params
fedsb,1,10,0.5,8,0.8693,0.295,0.06,3074
fedsb,2,10,0.5,8,0.8693,0.3016,0.12,3074
fedsb,3,10,0.5,8,0.8452,0.368,0.18,3074
fedsb,4,10,0.5,8,0.875,0.3385,0.23,3074
fedsb,5,10,0.5,8,0.8773,0.2906,0.29,3074
fedsb,6,10,0.5,8,0.8406,0.448,0.35,3074
fedsb,7,10,0.5,8,0.8314,0.4598,0.41,3074
fedsb,8,10,0.5,8,0.8773,0.2956,0.47,3074
fedsb,9,10,0.5,8,0.8716,0.2975,0.53,3074
fedsb,10,10,0.5,8,0.8567,0.3808,0.59,3074
fedsb,11,10,0.5,8,0.8796,0.3257,0.64,3074
fedsb,12,10,0.5,8,0.8704,0.3025,0.7,3074
fedsb,13,10,0.5,8,0.8532,0.4067,0.76,3074
fedsb,14,10,0.5,8,0.8865,0.2932,0.82,3074
fedsb,15,10,0.5,8,0.8807,0.288,0.88,3074
fedsb,16,10,0.5,8,0.8773,0.3003,0.94,3074
fedsb,17,10,0.5,8,0.8807,0.3287,1.0,3074
fedsb,18,10,0.5,8,0.8888,0.2824,1.05,3074
fedsb,19,10,0.5,8,0.8865,0.2963,1.11,3074
fedsb,20,10,0.5,8,0.8429,0.3828,1.17,3074
