method,round,num_clients,dirichlet_alpha,lora_rank,val_accuracy,val_loss,comm_cost_mb,trainable_params
flora,1,10,0.5,8,0.9117,0.2376,11.31,296450
flora,2,10,0.5,8,0.8956,0.2724,22.62,296450
flora,3,10,0.5,8,0.9163,0.2795,33.93,296450
flora,4,10,0.5,8,0.9071,0.2632,45.23,296450
flora,5,10,0.5,8,0.9151,0.2441,56.54,296450
flora,6,10,0.5,8,0.9037,0.278,67.85,296450
flora,7,10,0.5,8,0.883,0.3527,79.16,296450
flora,8,10,0.5,8,0.914,0.2762,90.47,296450
flora,9,10,0.5,8,0.914,0.2731,101.78,296450
flora,10,10,0.5,8,0.9106,0.2589,113.09,296450
flora,11,10,0.5,8,0.9048,0.277,124.4,296450
flora,12,10,0.5,8,0.9163,0.2822,135.7,296450
flora,13,10,0.5,8,0.8853,0.3555,147.01,296450
flora,14,10,0.5,8,0.9117,0.2838,158.32,296450
flora,15,10,0.5,8,0.9128,0.2849,169.63,296450
flora,16,10,0.5,8,0.914,0.3344,180.94,296450
flora,17,10,0.5,8,0.906,0.2796,192.25,296450
flora,18,10,0.5,8,0.9174,0.2932,203.56,296450
flora,19,10,0.5,8,0.9106,0.2863,214.86,296450
flora,20,10,0.5,8,0.9197,0.3252,226.17,296450
