method,round,num_clients,dirichlet_alpha,lora_rank,val_accuracy,val_loss,comm_cost_mb,trainable_params
fedavg,1,10,0.5,0,0.5092,0.7106,4176.47,109483778
fedavg,2,10,0.5,0,0.4908,0.7133,8352.95,109483778
fedavg,3,10,0.5,0,0.5092,0.7845,12529.42,109483778
fedavg,4,10,0.5,0,0.4908,0.7551,16705.9,109483778
fedavg,5,10,0.5,0,0.5092,0.7008,20882.37,109483778
fedavg,6,10,0.5,0,0.4908,1.0615,25058.85,109483778
fedavg,7,10,0.5,0,0.5092,0.751,29235.32,109483778
fedavg,8,10,0.5,0,0.5092,0.7382,33411.8,109483778
fedavg,9,10,0.5,0,0.5092,0.7432,37588.27,109483778
fedavg,10,10,0.5,0,0.4908,0.763,41764.75,109483778
fedavg,11,10,0.5,0,0.4908,0.7397,45941.22,109483778
fedavg,12,10,0.5,0,0.5092,0.7522,50117.7,109483778
fedavg,13,10,0.5,0,0.4908,1.2379,54294.17,109483778
fedavg,14,10,0.5,0,0.5092,0.7078,58470.65,109483778
fedavg,15,10,0.5,0,0.5092,0.7252,62647.12,109483778
fedavg,16,10,0.5,0,0.5092,0.7579,66823.59,109483778
fedavg,17,10,0.5,0,0.4908,0.7824,71000.07,109483778
fedavg,18,10,0.5,0,0.5092,0.7206,75176.54,109483778
fedavg,19,10,0.5,0,0.5092,0.7193,79353.02,109483778
fedavg,20,10,0.5,0,0.5092,0.7873,83529.49,109483778
